"2023-01-03 00:20:46am "," update "," UPDATE user SET `last_login` = '2023-01-03 00:20:46' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/login-check "," R: http://localhost/EthnicWear/admin"
"2023-01-03 00:26:05am "," update "," UPDATE category SET `child_category` = '5,6,7,8' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/4"
"2023-01-03 00:26:05am "," update "," UPDATE category SET `category_name` = 'Topwear', `short_code` = 'men-topwear', `parent_category_id` = '1', `hierarchy` = '1,4', `element_id` = '', `description` = 'Topwear', `category_image` = 'mens_vest.jpg', `modified_by` = '1', `modified` = '2023-01-03 00:26:05', `return_or_replace` = '', `return_replace_validity` = '', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '4' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/4"
"2023-01-03 00:26:05am "," update "," UPDATE category SET `child_category` = '5,6,7,8,4' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/4"
"2023-01-03 00:26:37am "," update "," UPDATE category SET `child_category` = '24,25,26,27,28' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/58"
"2023-01-03 00:26:37am "," update "," UPDATE category SET `category_name` = 'Skirts Palazzos', `short_code` = 'indian-fusion-wear-skirts-palazzos', `parent_category_id` = '22', `hierarchy` = '2,22,58', `element_id` = '', `description` = 'Skirts Palazzos', `category_image` = 'display.jpg', `modified_by` = '1', `modified` = '2023-01-03 00:26:37', `return_or_replace` = '', `return_replace_validity` = '', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '58' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/58"
"2023-01-03 00:26:37am "," update "," UPDATE category SET `child_category` = '24,25,26,27,28,58' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/58"
"2023-01-03 00:26:54am "," update "," UPDATE category SET `child_category` = '24,25,27,28,58' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/26"
"2023-01-03 00:26:54am "," update "," UPDATE category SET `category_name` = 'Sarees', `short_code` = 'indian-fusion-wear-sarees', `parent_category_id` = '22', `hierarchy` = '2,22,26', `element_id` = '', `description` = 'Sarees', `category_image` = 'sarees2.jpg', `modified_by` = '1', `modified` = '2023-01-03 00:26:54', `return_or_replace` = '', `return_replace_validity` = '', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '26' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/26"
"2023-01-03 00:26:54am "," update "," UPDATE category SET `child_category` = '24,25,27,28,58,26' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/26"
"2023-01-03 00:28:58am "," update "," UPDATE category SET `child_category` = '30,31,32,33,34,35,36' WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/29"
