"2023-01-03 01:33:05am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Lehenga Choli', 'indian-fusion-wear-lehenga-choli', '22', '', 'Lehenga Choli', 'product-1-1.jpg', '1', '', '', '', '', '2023-01-03 01:33:05') "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/add-category"
"2023-01-03 01:33:05am "," update "," UPDATE category SET `hierarchy` = '2,22,59' WHERE 1=1  and category_id = '59' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/add-category"
"2023-01-03 01:33:05am "," update "," UPDATE category SET `child_category` = '27,28,25,58,24,26,59' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/add-category"
"2023-01-03 01:37:17am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Yellow Ready to Wear Lehenga & Blouse With Dupatta', 'Dupatta', 'yellow-ready-to-wear-lehenga-blouse-with-dupatta-m-yellow-vnky8c75', 'Yellow Ready to Wear Lehenga & Blouse With Dupatta', '<p>Yellow solid lehenga choli with dupatta, Yellow solid ready to wear blouse, has a round neck, short sleeves, yellow solid ready to wear lehenga, has slip-on closure, flared hem&nbsp;</p><p>Yellow printed dupatta</p>', '70', '2', '59', '1', '2000', 2240, '10', 2016, '12', '', 240, '10'_amt, 'cover_image.webp', '5', 0, 0, 0, '', '', '', '1', '2023-01-03 01:37:17', '', '') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2023-01-03 01:37:17am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '146' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2023-01-03 01:37:17am "," update "," UPDATE product_details SET `short_code` = 'yellow-ready-to-wear-lehenga-blouse-with-dupatta-m-yellow-vnky8c75-146' WHERE 1=1  and product_id = '146' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2023-01-03 01:37:17am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('146', 1, '2', '2023-01-03 01:37:17') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2023-01-03 01:37:17am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('146', 2, '7', '2023-01-03 01:37:17') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/add-product"
"2023-01-03 01:40:03am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Dupattas & Shawls', 'indian-fusion-wear-dupattas-shawls', '22', '', 'Dupattas & Shawls', 'category-thumb-6.jpg', '1', '', '', '', '', '2023-01-03 01:40:03') "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/add-category"
"2023-01-03 01:40:03am "," update "," UPDATE category SET `hierarchy` = '2,22,60' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/add-category"
"2023-01-03 01:40:03am "," update "," UPDATE category SET `child_category` = '27,28,25,58,24,26,59,60' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/add-category"
