"2023-01-06 22:13:19pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('shirt', '1', 'men', '2023-01-06') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
"2023-01-06 22:14:50pm "," delete "," DELETE FROM recent_search WHERE 1=1  and customer_id = '1' and recent_search_id = '1' "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/removeRecentSearch "," R: "
"2023-01-06 22:15:01pm "," delete "," DELETE FROM recent_search WHERE 1=1  and customer_id = '1' and recent_search_id = '1' "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/removeRecentSearch "," R: "
"2023-01-06 22:15:07pm "," delete "," DELETE FROM recent_search WHERE 1=1  and customer_id = '1' and recent_search_id = '2' "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/removeRecentSearch "," R: "
"2023-01-06 22:15:09pm "," delete "," DELETE FROM recent_search WHERE 1=1  and customer_id = '1' and recent_search_id = '2' "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/removeRecentSearch "," R: "
"2023-01-06 22:15:11pm "," delete "," DELETE FROM recent_search WHERE 1=1  and customer_id = '1' and recent_search_id = '2' "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/removeRecentSearch "," R: "
"2023-01-06 22:15:31pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('shirt', '1', 'men', '2023-01-06') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
"2023-01-06 22:27:23pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('Tshirt', '1', 'men', '2023-01-06') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
"2023-01-06 22:27:59pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('Slim Fit Tshirt', '1', 'men', '2023-01-06') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
"2023-01-06 22:28:14pm "," delete "," DELETE FROM recent_search WHERE 1=1  and customer_id = '1' and recent_search_id = '3' "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/removeRecentSearch "," R: "
"2023-01-06 22:28:34pm "," delete "," DELETE FROM recent_search WHERE 1=1  and customer_id = '1' and recent_search_id = '3' "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/removeRecentSearch "," R: "
"2023-01-06 22:28:45pm "," delete "," DELETE FROM recent_search WHERE 1=1  and customer_id = '1' and recent_search_id = '3' "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/removeRecentSearch "," R: "
"2023-01-06 22:33:55pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('Slim Fit Tshirt', '2', 'men', '2023-01-06') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
"2023-01-06 22:34:50pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('Casual Shirt', '2', 'men', '2023-01-06') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
"2023-01-06 22:35:03pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('Casual Shirt', '1', 'men', '2023-01-06') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
"2023-01-06 22:35:38pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('Regular Tshirt', '1', 'women', '2023-01-06') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
