"2023-01-17 03:20:13am "," update "," UPDATE product_details SET `view_count` = 31 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-17 03:21:02am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2023-01-17 03:26:14am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-xl-white-vnky8c75-4 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3"
"2023-01-17 03:27:13am "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-m-white-vnky8c75-2 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-xl-white-vnky8c75-4"
"2023-01-17 03:29:20am "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-m-white-vnky8c75-2 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-xl-white-vnky8c75-4"
"2023-01-17 03:29:38am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-m-white-vnky8c75-2"
"2023-01-17 03:40:18am "," update "," UPDATE product_details SET `view_count` = 142 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3"
"2023-01-17 03:42:22am "," update "," UPDATE product_details SET `view_count` = 143 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3"
"2023-01-17 03:42:38am "," update "," UPDATE product_details SET `view_count` = 23 WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-m-white-vnky8c75-2 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2023-01-17 03:45:49am "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-m-white-vnky8c75-2"
"2023-01-17 03:54:11am "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-xl-white-vnky8c75-4 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3"
