"2023-01-18 00:00:06am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '127' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121"
"2023-01-18 00:01:16am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '127' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121"
"2023-01-18 00:01:17am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '127' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121"
"2023-01-18 00:01:35am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '127' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121"
"2023-01-18 00:01:54am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '125' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127"
"2023-01-18 00:02:11am "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '125' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127"
"2023-01-18 00:14:11am "," update "," UPDATE product_details SET `view_count` = 111 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:15:07am "," update "," UPDATE product_details SET `view_count` = 112 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:15:11am "," update "," UPDATE product_details SET `view_count` = 25 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2023-01-18 00:15:14am "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '125' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122"
"2023-01-18 00:16:11am "," update "," UPDATE product_details SET `view_count` = 151 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:16:19am "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-yellow-typography-printed-t-shirt-7y-8y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:17:00am "," update "," UPDATE product_details SET `view_count` = 152 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:18:05am "," update "," UPDATE product_details SET `view_count` = 153 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:18:13am "," update "," UPDATE product_details SET `view_count` = 113 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:19:55am "," update "," UPDATE product_details SET `view_count` = 114 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:20:01am "," update "," UPDATE product_details SET `view_count` = 26 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2023-01-18 00:21:55am "," update "," UPDATE product_details SET `view_count` = 115 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:25:54am "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '125' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2023-01-18 00:26:00am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '127' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125"
"2023-01-18 00:27:39am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '124' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127"
"2023-01-18 00:27:43am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '121' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124"
"2023-01-18 00:28:01am "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '121' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124"
"2023-01-18 00:28:23am "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '121' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124"
"2023-01-18 00:28:49am "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '121' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124"
"2023-01-18 00:29:10am "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '124' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121"
"2023-01-18 00:29:39am "," update "," UPDATE product_details SET `view_count` = 32 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 00:31:06am "," update "," UPDATE product_details SET `view_count` = 33 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 00:31:11am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2023-01-18 00:31:40am "," update "," UPDATE product_details SET `view_count` = 34 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2023-01-18 00:33:27am "," update "," UPDATE product_details SET `view_count` = 35 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2023-01-18 00:33:27am "," update "," UPDATE product_details SET `view_count` = 36 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2023-01-18 00:33:28am "," update "," UPDATE product_details SET `view_count` = 37 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2023-01-18 00:33:29am "," update "," UPDATE product_details SET `view_count` = 38 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2023-01-18 00:33:30am "," update "," UPDATE product_details SET `view_count` = 39 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2023-01-18 00:34:06am "," update "," UPDATE product_details SET `view_count` = 116 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:34:33am "," update "," UPDATE product_details SET `view_count` = 40 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 00:42:27am "," update "," UPDATE product_details SET `view_count` = 117 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 00:44:05am "," update "," UPDATE product_details SET `view_count` = 118 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
