"2023-01-18 02:01:39am "," update "," UPDATE product_details SET `view_count` = 121 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 02:03:19am "," update "," UPDATE product_details SET `view_count` = 122 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 02:03:40am "," update "," UPDATE product_details SET `view_count` = 123 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: "
"2023-01-18 02:06:01am "," update "," UPDATE product_details SET `view_count` = 124 WHERE 1=1  and product_id = '118' "," 127.0.0.1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: "
"2023-01-18 02:06:07am "," update "," UPDATE product_details SET `view_count` = 27 WHERE 1=1  and product_id = '122' "," 127.0.0.1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2023-01-18 02:06:10am "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '125' "," 127.0.0.1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122"
"2023-01-18 02:06:16am "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '125' "," 127.0.0.1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125 "," R: "
"2023-01-18 02:06:54am "," update "," UPDATE product_details SET `view_count` = 125 WHERE 1=1  and product_id = '118' "," 127.0.0.1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: "
"2023-01-18 02:07:21am "," update "," UPDATE product_details SET `view_count` = 126 WHERE 1=1  and product_id = '118' "," 127.0.0.1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: "
"2023-01-18 02:16:08am "," update "," UPDATE product_details SET `view_count` = 127 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: "
"2023-01-18 02:22:17am "," update "," UPDATE product_details SET `view_count` = 128 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: "
"2023-01-18 02:49:19am "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-yellow-typography-printed-t-shirt-7y-8y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 02:49:28am "," update "," UPDATE product_details SET `view_count` = 41 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 02:51:56am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = NULL "," ::1 "," URL: http://localhost/MultiVendor/product-detail/1 "," R: http://localhost/MultiVendor/cart"
"2023-01-18 02:52:44am "," update "," UPDATE product_details SET `view_count` = 42 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 02:55:57am "," update "," UPDATE product_details SET `view_count` = 23 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 02:56:09am "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = NULL and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2023-01-18 02:56:13am "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = NULL and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
