"2023-01-18 04:16:07am "," update "," UPDATE product_details SET `view_count` = 32 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 04:16:07am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '129') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 04:16:09am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '129', '1', '{""10"":""144""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2023-01-18 04:16:21am "," update "," UPDATE product_details SET `view_count` = 154 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 04:16:24am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '1', '1', '{""1"":""1"",""2"":""11""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2023-01-18 04:16:31am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '99' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/off-white-blue-geometric-printed-mandarin-collar-empire-top-s-pearl-vnky8c75-99 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 04:16:31am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '99') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/off-white-blue-geometric-printed-mandarin-collar-empire-top-s-pearl-vnky8c75-99 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 04:16:34am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '99', '1', '{""1"":""1"",""2"":""135""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/off-white-blue-geometric-printed-mandarin-collar-empire-top-s-pearl-vnky8c75-99"
"2023-01-18 04:18:52am "," update "," UPDATE product_details SET `view_count` = 155 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 04:19:02am "," update "," UPDATE product_details SET `view_count` = 33 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 04:19:36am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', NULL, 1, '[]') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
