"2023-01-18 22:04:27pm "," update "," UPDATE product_details SET `view_count` = 135 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 22:04:31pm "," update "," UPDATE product_details SET `view_count` = 31 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2023-01-18 22:07:01pm "," update "," UPDATE product_details SET `view_count` = 136 WHERE 1=1  and product_id = '118' "," 192.168.0.100 "," URL: http://192.168.0.171/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://192.168.0.171/MultiVendor/shop"
"2023-01-18 22:07:16pm "," update "," UPDATE product_details SET `view_count` = 32 WHERE 1=1  and product_id = '122' "," 192.168.0.100 "," URL: http://192.168.0.171/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://192.168.0.171/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2023-01-18 22:10:06pm "," update "," UPDATE product_details SET `view_count` = 137 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 22:10:20pm "," update "," UPDATE product_details SET `view_count` = 49 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 22:11:17pm "," update "," UPDATE product_details SET `view_count` = 138 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 22:11:39pm "," update "," UPDATE product_details SET `view_count` = 139 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 22:18:34pm "," update "," UPDATE product_details SET `view_count` = 140 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 22:19:21pm "," update "," UPDATE product_details SET `view_count` = 50 WHERE 1=1  and product_id = '5' "," 127.0.0.1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 22:19:24pm "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '7' "," 127.0.0.1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2023-01-18 22:36:15pm "," update "," UPDATE product_details SET `view_count` = 161 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 22:41:04pm "," update "," UPDATE product_details SET `view_count` = 28 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 22:43:52pm "," update "," UPDATE product_details SET `view_count` = 162 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 22:49:01pm "," update "," UPDATE customer_cart SET `quantity` = 3, `elements_attributes` = '{""1"":""1"",""2"":""11""}' WHERE 1=1  and cart_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 22:49:07pm "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 22:49:07pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '29') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 22:49:15pm "," update "," UPDATE product_details SET `view_count` = 29 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2023-01-18 22:49:24pm "," update "," UPDATE product_details SET `view_count` = 30 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21"
"2023-01-18 22:57:14pm "," update "," UPDATE user SET `last_login` = '2023-01-18 22:57:14' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2023-01-18 22:57:49pm "," update "," UPDATE product_details SET `view_count` = 51 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 22:57:51pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '5', '1', '{""1"":""4"",""2"":""109""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2023-01-18 22:58:04pm "," update "," UPDATE product_details SET `view_count` = 19 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-yellow-typography-printed-t-shirt-7y-8y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 22:58:04pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '132') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-yellow-typography-printed-t-shirt-7y-8y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 22:58:05pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '132', '1', '{""10"":""146""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/boys-yellow-typography-printed-t-shirt-7y-8y-vne98q7y-132"
