"2023-01-18 23:06:01pm "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-yellow-typography-printed-t-shirt-7y-8y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 23:06:09pm "," update "," UPDATE product_details SET `view_count` = 41 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 23:06:09pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '115') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 23:06:13pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '115', '1', '{""1"":""1"",""2"":""10""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115"
"2023-01-18 23:06:19pm "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '{""1"":""1"",""2"":""10""}' WHERE 1=1  and cart_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115"
"2023-01-18 23:06:52pm "," update "," UPDATE product_details SET `view_count` = 42 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 23:06:57pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115"
"2023-01-18 23:06:57pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '116') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115"
"2023-01-18 23:07:05pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '116', '1', '{""1"":""2"",""2"":""10""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
"2023-01-18 23:09:47pm "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115"
"2023-01-18 23:09:52pm "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '117' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117 "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
"2023-01-18 23:09:52pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '117') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117 "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
"2023-01-18 23:09:55pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '117', '1', '{""1"":""3"",""2"":""10""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117"
"2023-01-18 23:11:30pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '1' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 23:11:31pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '5' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 23:11:34pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '116' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 23:11:36pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '132' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 23:11:37pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '117' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 23:11:42pm "," update "," UPDATE product_details SET `view_count` = 31 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 23:11:42pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '21') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 23:11:44pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '21', '1', '{""1"":""2"",""2"":""109""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21"
"2023-01-18 23:11:57pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`, `delivery_address`) VALUES('OD202223-11674063717', '1', 2, 1960, 3, 1254, 168, 705.6, '2023-01-18', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""name"":""Roshni Mistry"",""mobile"":""08866594677"",""address"":""test,30 valsad ,\u003Cbr\u003Evalsad , Haryana ,\u003Cbr\u003EIndia - 3963001"",""city"":""valsad"",""state"":""Haryana"",""country"":""India"",""pincode"":""3963001""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:11:57pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`, `order_date`) VALUES('1', '115', 'Womens Casual Digital Printed Shirt Ruffle Sleeve Tops', '2', '392', '392', 784, '0', 'return,replace', '7', '0'_amt, '12', '12'_amt, '1', '{""Size"":""S"",""Color"":""BLACK""}', '2023-01-18') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
