"2023-01-19 01:34:56am "," update "," UPDATE product_details SET `view_count` = 167 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2023-01-19 01:35:02am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = NULL "," ::1 "," URL: http://localhost/MultiVendor/product-detail/1 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2023-01-19 01:35:06am "," update "," UPDATE product_details SET `view_count` = 168 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2023-01-19 01:35:23am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '67' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-m-green-vnky8c75-67 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-19 01:35:23am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '67') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-m-green-vnky8c75-67 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-19 01:35:25am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-m-maroon-vnky8c75-62 "," R: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-m-green-vnky8c75-67"
"2023-01-19 01:35:25am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '62') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-m-maroon-vnky8c75-62 "," R: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-m-green-vnky8c75-67"
"2023-01-19 01:35:36am "," update "," UPDATE product_details SET `view_count` = 27 WHERE 1=1  and product_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61 "," R: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-m-maroon-vnky8c75-62"
"2023-01-19 01:35:36am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '61') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61 "," R: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-m-maroon-vnky8c75-62"
"2023-01-19 01:35:37am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '61', '1', '{""1"":""1"",""2"":""86""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61"
"2023-01-19 01:35:42am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '1' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-s-maroon-vnky8c75-61"
"2023-01-19 01:36:05am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`, `delivery_address`) VALUES('OD202223-11674072365', '1', 1, 1344, 1, 1075, 144, 268.8, '2023-01-19', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""name"":""Roshni Mistry"",""mobile"":""08866594677"",""address"":""test,30 valsad ,\u003Cbr\u003Evalsad , Haryana ,\u003Cbr\u003EIndia - 3963001"",""city"":""valsad"",""state"":""Haryana"",""country"":""India"",""pincode"":""3963001""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:36:05am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`, `order_date`) VALUES('5', '61', 'Men Maroon Regular Kurta Pyjamas with Jacket', '1', '1075', '1344', 1075, '20', 'return,replace', '7', '20'_amt, '12', '12'_amt, '1', '{""Size"":""S"",""Color"":""MAROON""}', '2023-01-19') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:36:05am "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `ordered_qty`, `current_stock`, `status`) VALUES('61', 5, '1', 4, 2) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:36:05am "," update "," UPDATE product_details SET `stock` = 4 WHERE 1=1  and product_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:36:05am "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '5', '1', 1075, '2023-01-19', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
