"2023-01-23 23:00:02pm "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:01:27pm "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:03:54pm "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:04:32pm "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:04:35pm "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:04:35pm "," update "," UPDATE product_details SET `view_count` = 17 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:04:49pm "," update "," UPDATE product_details SET `view_count` = 18 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:05:11pm "," update "," UPDATE product_details SET `view_count` = 19 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:06:14pm "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:06:15pm "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:06:16pm "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:06:16pm "," update "," UPDATE product_details SET `view_count` = 23 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:06:17pm "," update "," UPDATE product_details SET `view_count` = 24 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
