"2023-01-24 00:04:45am "," update "," UPDATE product_details SET `view_count` = 215 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-24 00:07:18am "," update "," UPDATE product_details SET `view_count` = 216 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-24 00:07:24am "," update "," UPDATE product_details SET `view_count` = 85 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-24 00:29:11am "," update "," UPDATE product_details SET `view_count` = 86 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-24 00:31:05am "," update "," UPDATE product_details SET `view_count` = 217 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-24 00:31:28am "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = NULL and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2023-01-24 00:31:29am "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = NULL and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2023-01-24 00:33:03am "," update "," UPDATE product_details SET `view_count` = 87 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-24 00:33:12am "," update "," UPDATE product_details SET `view_count` = 34 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-24 00:36:54am "," update "," UPDATE product_details SET `view_count` = 218 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-24 00:37:01am "," update "," UPDATE product_details SET `view_count` = 88 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-24 00:37:09am "," update "," UPDATE product_details SET `view_count` = 35 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-24 00:37:56am "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = NULL and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2023-01-24 00:37:57am "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = NULL and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2023-01-24 00:38:05am "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = NULL and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2023-01-24 00:52:25am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '108', '1', '{""1"":""2"",""2"":""95""}') "," ::1 "," URL: http://localhost/EthnicWear/customer-login "," R: http://localhost/EthnicWear/login"
"2023-01-24 00:55:32am "," update "," UPDATE product_details SET `view_count` = 219 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
