"2023-01-24 03:01:12am "," update "," UPDATE product_details SET `product_name` = 'Black & Grey Hand Block Print Legacy Pure Cotton Sustainable Top with Mirror Work & Contrast Print', `product_code` = 'Tops', `short_code` = 'black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-black-vnky8c75-115', `short_description` = 'Black & Grey Hand Block Print Legacy Pure Cotton Sustainable Top with Mirror Work & Contrast Print', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Kurta design:</strong></h5><ul><li>Floral yoke design</li><li>Straight shapeRegular style</li><li>Round neck, three-quarter regular sleeves</li><li>Calf length with straight hem</li><li>Cotton blend machine weave fabric</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Trousers design:</strong></h5><ul><li>Solid Trousers</li><li>Elasticated waistband</li><li>Slip-on closure</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li>The model (height 5'8) is wearing a size S</li><li>DimensionDupatta: Length : 2.25 M, Width : 0.95 M</li></ul></div></div><div class=""row""><div class=""col-12 col-md-3""><h5><strong>Sleeve Length</strong></h5><ul><li style=""list-style-type: circle;"">Three-Quarter Sleeves</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Top Shape</strong></h5><ul><li style=""list-style-type: circle;"">Straight</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Print or Pattern Type</strong></h5><ul><li style=""list-style-type: circle;"">Floral</li></ul></div></div>', `brand_id` = '77', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '350', `mrp_price` = 392, `discount` = '', `net_price` = 392, `tax` = '12', `qty` = '', `gst_amt` = 42, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `tag` = 'Women Pure Cotton Sustainable Top,Women Black & Grey Hand Block Print Legacy Top,Top With Mirror Work & Contrast Print,Mirror Work  Top', `gst_type` = 'exclusive', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-24 03:01:12', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/115"
"2023-01-24 03:01:12am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('115', 1, '1', '6geJim', '22', '2023-01-24 03:01:12') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/115"
"2023-01-24 03:01:12am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('115', 2, '10', '6geJim', '22', '2023-01-24 03:01:12') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/115"
"2023-01-24 03:01:13am "," update "," UPDATE product_details SET `image` = '1.webp|2.avif|3.webp|4.avif' WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/115"
"2023-01-24 03:01:51am "," update "," UPDATE product_details SET `product_name` = 'Women Maroon Solid Straight Kurta', `product_code` = 'T-SHIRT', `short_code` = 'women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118', `short_description` = 'Maroon solid Straight kurta, has a tie-up neck, three-quarter sleeves, straight hem, side slits', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Kurta design:</strong></h5><ul><li>Floral yoke design</li><li>Straight shapeRegular style</li><li>Round neck, three-quarter regular sleeves</li><li>Calf length with straight hem</li><li>Cotton blend machine weave fabric</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Trousers design:</strong></h5><ul><li>Solid Trousers</li><li>Elasticated waistband</li><li>Slip-on closure</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li>The model (height 5'8) is wearing a size S</li><li>DimensionDupatta: Length : 2.25 M, Width : 0.95 M</li></ul></div></div><div class=""row""><div class=""col-12 col-md-3""><h5><strong>Sleeve Length</strong></h5><ul><li style=""list-style-type: circle;"">Three-Quarter Sleeves</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Top Shape</strong></h5><ul><li style=""list-style-type: circle;"">Straight</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Print or Pattern Type</strong></h5><ul><li style=""list-style-type: circle;"">Floral</li></ul></div></div>', `brand_id` = '78', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '250', `mrp_price` = '250', `discount` = '', `net_price` = '250', `tax` = '0', `qty` = '', `gst_amt` = 0, `discount_amt` = ''_amt, `cover_img` = 'cover_image.webp', `tag` = 'Women Maroon Solid Straight Kurta,Women Solid Straight Kurta,Women  Straight Kurta', `gst_type` = 'exclusive', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-24 03:01:51', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-24 03:01:51am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('118', 1, '2', 'w8J7XE', '23', '2023-01-24 03:01:51') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-24 03:01:51am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('118', 2, '86', 'w8J7XE', '23', '2023-01-24 03:01:51') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-24 03:01:51am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.jpg|5.webp' WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/118"
"2023-01-24 03:02:38am "," update "," UPDATE product_details SET `product_name` = 'Yellow Zari Pure Silk Banarasi Saree', `product_code` = 'Banarasi 1', `short_code` = 'yellow-zari-pure-silk-banarasi-saree-yellow-vnky8c75-134', `short_description` = 'Yellow Zari Pure Silk Banarasi Saree', `description` = '<h6>Design Details</h6><p>Maroon and gold-toned banarasi saree Ethnic motifs woven design saree with woven design border Has zari detail</p><p>The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.</p><h6>Size &amp; Fit</h6><p>Length: 5.5 metres plus 0.8 metre blouse piece</p><p>Width: 1.06 metres</p><h6>Material &amp; Care</h6><p>Saree Fabric : Silk Blend,</p><p>Blouse Fabric : Silk Blend,</p><p>Dry Clean</p>', `brand_id` = '77', `category_id` = '2', `child_category` = '26', `vendor_id` = '1', `unit_price` = '1500', `mrp_price` = 1680, `discount` = '20', `net_price` = 1344, `tax` = '12', `qty` = '', `gst_amt` = 180, `discount_amt` = '20'_amt, `cover_img` = 'cover_image.webp', `tag` = 'Yellow Zari Pure Silk Banarasi Saree,Women Silk Banarasi Saree,Yellow Banarasi Saree', `gst_type` = 'exclusive', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-24 03:02:38', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '134' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/134"
"2023-01-24 03:02:38am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('134', 2, '7', NULL, NULL, '2023-01-24 03:02:38') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/134"
"2023-01-24 03:02:38am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.jpg' WHERE 1=1  and product_id = '134' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/134"
