"2023-01-30 23:01:10pm "," update "," UPDATE product_details SET `view_count` = 202 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2023-01-30 23:09:14pm "," update "," UPDATE product_details SET `view_count` = 39 WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-m-white-vnky8c75-2 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2023-01-30 23:10:02pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '1', 2, '{""1"":""1"",""2"":""11""}') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/home"
"2023-01-30 23:13:13pm "," update "," UPDATE product_details SET `view_count` = 146 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-30 23:13:24pm "," update "," UPDATE product_details SET `view_count` = 36 WHERE 1=1  and product_id = '107' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/women-rust-orange-embroidered-a-line-longline-top-s-orange-red-vnky8c75-107 "," R: http://localhost/MultiVendor/shop"
"2023-01-30 23:13:24pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '107') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/women-rust-orange-embroidered-a-line-longline-top-s-orange-red-vnky8c75-107 "," R: http://localhost/MultiVendor/shop"
"2023-01-30 23:13:35pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '53' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-tapered-fit-mid-rise-clean-look-stretchable-jeans-white-34-vne98q7y-53 "," R: http://localhost/MultiVendor/shop"
"2023-01-30 23:13:35pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '53') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-tapered-fit-mid-rise-clean-look-stretchable-jeans-white-34-vne98q7y-53 "," R: http://localhost/MultiVendor/shop"
"2023-01-30 23:13:45pm "," update "," UPDATE product_details SET `view_count` = 32 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-30 23:13:49pm "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-30 23:13:54pm "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtowhisList "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-30 23:13:56pm "," update "," UPDATE product_details SET `view_count` = 203 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men"
